txn_id,ts,store_id,product_sku,product_name,qty,amount_krw,payment_method,status
T100100,2026-05-12T17:47:45,SEL-001,INF-004,노세범 미네랄 파우더 5g,1,8000,kakao_pay,OK
T100101,2026-05-12T11:01:59,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,cash,OK
T100102,2026-05-12T15:45:12,SEL-001,INF-003,화산송이 모공 마스크 100ml,1,12000,samsung_pay,OK
T100103,2026-05-12T11:49:19,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,38000,naver_pay,OK
T100104,2026-05-12T19:22:34,SEL-001,ETD-002,플레이 컬러 아이즈 #체리블라썸,1,0,kakao_pay,PAYMENT_FAIL
T100105,2026-05-12T09:26:52,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,cash,OK
T100106,2026-05-12T18:27:11,SEL-001,ATM-006,솝베리 클렌징 오일,1,19000,naver_pay,OK
T100107,2026-05-12T19:34:49,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,naver_pay,OK
T100108,2026-05-12T13:54:15,SEL-001,ASR-003,헤라 블랙쿠션 15g 21호,2,156000,cash,OK
T100109,2026-05-12T13:29:36,SEL-001,ATM-002,이데알 글로우 비비크림,1,25000,cash,OK
T100110,2026-05-12T20:11:31,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,48000,kakao_pay,OK
T100111,2026-05-12T20:44:56,SEL-001,LNZ-003,퍼펙트 리뉴 리제너레이터 75ml,1,78000,samsung_pay,OK
T100112,2026-05-12T11:46:26,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,cash,OK
T100113,2026-05-12T18:31:28,SEL-001,ASR-002,설화수 윤조에센스 90ml,1,145000,cash,OK
T100114,2026-05-12T18:19:42,SEL-001,ATM-001,그린에디션 세럼인 토너 200ml,1,22000,kakao_pay,OK
T100115,2026-05-12T15:47:35,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,1,38000,kakao_pay,OK
T100116,2026-05-12T13:07:46,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,48000,samsung_pay,OK
T100117,2026-05-12T12:47:30,SEL-001,LNZ-003,퍼펙트 리뉴 리제너레이터 75ml,1,78000,naver_pay,OK
T100118,2026-05-12T17:06:53,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,48000,kakao_pay,OK
T100119,2026-05-12T09:34:08,SEL-001,LNZ-003,퍼펙트 리뉴 리제너레이터 75ml,1,0,kakao_pay,PAYMENT_FAIL
T100120,2026-05-12T18:08:40,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,-38000,card,REFUND
T100121,2026-05-12T17:30:30,SEL-001,ETD-003,디어 달링 워터젤 틴트,1,9000,kakao_pay,OK
T100122,2026-05-12T21:30:07,SEL-001,ASR-003,헤라 블랙쿠션 15g 21호,1,78000,naver_pay,OK
T100123,2026-05-12T18:03:09,SEL-001,INF-005,마이립밤 코코넛 3.5g,2,13000,card,OK
T100124,2026-05-12T22:07:35,SEL-001,ASR-001,설화수 자음생크림 60ml,1,235000,naver_pay,OK
T100125,2026-05-12T13:33:24,SEL-001,ETD-003,디어 달링 워터젤 틴트,2,18000,naver_pay,OK
T100126,2026-05-12T22:19:36,SEL-001,ATM-002,이데알 글로우 비비크림,1,25000,card,OK
T100127,2026-05-12T21:13:40,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,0,samsung_pay,STOCK_SHORTAGE
T100128,2026-05-12T12:04:10,SEL-001,INF-001,그린티 씨드 세럼 80ml,1,35000,cash,OK
T100129,2026-05-12T13:14:18,SEL-001,ATM-005,립 페인트 매트 #누드코랄,1,12000,card,OK
T100130,2026-05-12T18:59:16,SEL-001,ASR-002,설화수 윤조에센스 90ml,1,145000,samsung_pay,OK
T100131,2026-05-12T15:34:14,SEL-001,ATM-003,허니 콜라겐 마스크 5매,1,9500,samsung_pay,OK
T100132,2026-05-12T10:10:50,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,kakao_pay,OK
T100133,2026-05-12T15:29:44,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,naver_pay,OK
T100134,2026-05-12T17:28:05,SEL-001,ATM-002,이데알 글로우 비비크림,1,25000,kakao_pay,OK
T100135,2026-05-12T17:01:05,SEL-001,LNZ-002,립 슬리핑 마스크 베리 20g,3,72000,naver_pay,OK
T100136,2026-05-12T17:01:48,SEL-001,ATM-004,쥬얼링 아이즈 #피치블라썸,2,36000,samsung_pay,OK
T100137,2026-05-12T16:41:28,SEL-001,ASR-006,마몽드 로즈 워터 토너 250ml,1,18000,cash,OK
T100138,2026-05-12T18:31:05,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,card,OK
T100139,2026-05-12T20:21:26,SEL-001,ATM-005,립 페인트 매트 #누드코랄,1,12000,cash,OK
T100140,2026-05-12T19:35:02,SEL-001,ETD-003,디어 달링 워터젤 틴트,1,9000,card,OK
T100141,2026-05-12T21:25:55,SEL-001,ETD-005,수분 톤업 베이스 핑크,2,0,naver_pay,POS_DOWN
T100142,2026-05-12T16:03:12,SEL-001,ETD-005,수분 톤업 베이스 핑크,1,16000,cash,OK
T100143,2026-05-12T19:13:17,SEL-001,ETD-006,픽싱 틴트 #장미,1,14000,cash,OK
T100144,2026-05-12T11:40:38,SEL-001,ASR-002,설화수 윤조에센스 90ml,1,145000,naver_pay,OK
T100145,2026-05-12T09:26:05,SEL-001,LNZ-002,립 슬리핑 마스크 베리 20g,3,72000,cash,OK
T100146,2026-05-12T21:41:53,SEL-001,INF-005,마이립밤 코코넛 3.5g,1,6500,naver_pay,OK
T100147,2026-05-12T18:26:53,SEL-001,ETD-004,드로잉 아이브로우 자동연필,3,13500,naver_pay,OK
T100148,2026-05-12T12:12:58,SEL-001,ATM-002,이데알 글로우 비비크림,1,25000,card,OK
T100149,2026-05-12T13:50:54,SEL-001,ETD-002,플레이 컬러 아이즈 #체리블라썸,1,28000,kakao_pay,OK
T100150,2026-05-12T20:18:46,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,2,84000,cash,OK
T100151,2026-05-12T20:28:34,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,naver_pay,OK
T100152,2026-05-12T15:59:20,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,38000,naver_pay,OK
T100153,2026-05-12T15:54:49,SEL-001,ETD-002,플레이 컬러 아이즈 #체리블라썸,1,28000,cash,OK
T100154,2026-05-12T15:42:50,SEL-001,ASR-003,헤라 블랙쿠션 15g 21호,1,78000,card,OK
T100155,2026-05-12T12:37:21,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,38000,card,OK
T100156,2026-05-12T17:29:00,SEL-001,ATM-006,솝베리 클렌징 오일,1,19000,samsung_pay,OK
T100157,2026-05-12T10:50:16,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,1,38000,card,OK
T100158,2026-05-12T20:54:43,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,38000,cash,OK
T100159,2026-05-12T20:02:39,SEL-001,INF-003,화산송이 모공 마스크 100ml,1,12000,kakao_pay,OK
T100160,2026-05-12T22:47:05,SEL-001,ETD-002,플레이 컬러 아이즈 #체리블라썸,3,84000,card,OK
T100161,2026-05-12T15:44:19,SEL-001,ASR-005,아이오페 더마 리페어 크림 50ml,1,88000,card,OK
T100162,2026-05-12T13:23:27,SEL-001,INF-005,마이립밤 코코넛 3.5g,1,6500,samsung_pay,OK
T100163,2026-05-12T12:05:39,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,38000,cash,OK
T100164,2026-05-12T21:09:14,SEL-001,ETD-003,디어 달링 워터젤 틴트,1,9000,card,OK
T100165,2026-05-12T21:29:57,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,cash,OK
T100166,2026-05-12T21:37:19,SEL-001,ATM-003,허니 콜라겐 마스크 5매,3,28500,cash,OK
T100167,2026-05-12T20:12:24,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,38000,naver_pay,OK
T100168,2026-05-12T14:18:44,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,cash,OK
T100169,2026-05-12T13:36:55,SEL-001,ATM-004,쥬얼링 아이즈 #피치블라썸,1,18000,naver_pay,OK
T100170,2026-05-12T19:53:57,SEL-001,ASR-005,아이오페 더마 리페어 크림 50ml,1,88000,naver_pay,OK
T100171,2026-05-12T19:14:40,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,48000,samsung_pay,OK
T100172,2026-05-12T18:57:40,SEL-001,ATM-003,허니 콜라겐 마스크 5매,1,9500,card,OK
T100173,2026-05-12T17:46:08,SEL-001,INF-003,화산송이 모공 마스크 100ml,2,24000,cash,OK
T100174,2026-05-12T12:08:50,SEL-001,ETD-006,픽싱 틴트 #장미,2,28000,naver_pay,OK
T100175,2026-05-12T21:53:10,SEL-001,LNZ-003,퍼펙트 리뉴 리제너레이터 75ml,2,156000,kakao_pay,OK
T100176,2026-05-12T19:21:51,SEL-001,INF-004,노세범 미네랄 파우더 5g,1,0,samsung_pay,PAYMENT_FAIL
T100177,2026-05-12T20:46:43,SEL-001,ETD-001,비비 매직 파운데이션 SPF50,3,54000,kakao_pay,OK
T100178,2026-05-12T11:25:00,SEL-001,LNZ-003,퍼펙트 리뉴 리제너레이터 75ml,1,78000,kakao_pay,OK
T100179,2026-05-12T17:52:40,SEL-001,LNZ-006,이데알 블러 핏 파운데이션,1,38000,card,OK
T100180,2026-05-12T18:35:20,SEL-001,ASR-006,마몽드 로즈 워터 토너 250ml,1,18000,cash,OK
T100181,2026-05-12T21:19:41,SEL-001,ETD-002,플레이 컬러 아이즈 #체리블라썸,1,0,card,POS_DOWN
T100182,2026-05-12T14:31:07,SEL-001,INF-004,노세범 미네랄 파우더 5g,1,8000,cash,OK
T100183,2026-05-12T16:42:47,SEL-001,ATM-005,립 페인트 매트 #누드코랄,2,24000,samsung_pay,OK
T100184,2026-05-12T20:41:06,SEL-001,ASR-003,헤라 블랙쿠션 15g 21호,1,78000,kakao_pay,OK
T100185,2026-05-12T10:23:13,SEL-001,ETD-003,디어 달링 워터젤 틴트,1,9000,kakao_pay,OK
T100186,2026-05-12T11:43:23,SEL-001,ETD-006,픽싱 틴트 #장미,2,28000,card,OK
T100187,2026-05-12T15:12:07,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,2,0,samsung_pay,STOCK_SHORTAGE
T100188,2026-05-12T18:38:01,SEL-001,INF-002,레티놀 시카 흔적 앰플 30ml,1,42000,samsung_pay,OK
T100189,2026-05-12T19:13:04,SEL-001,ASR-003,헤라 블랙쿠션 15g 21호,1,78000,samsung_pay,OK
T100190,2026-05-12T19:14:21,SEL-001,ASR-001,설화수 자음생크림 60ml,1,235000,card,OK
T100191,2026-05-12T13:09:08,SEL-001,ETD-006,픽싱 틴트 #장미,1,14000,card,OK
T100192,2026-05-12T12:22:50,SEL-001,ASR-002,설화수 윤조에센스 90ml,1,145000,samsung_pay,OK
T100193,2026-05-12T13:08:47,SEL-001,ETD-002,플레이 컬러 아이즈 #체리블라썸,1,28000,cash,OK
T100194,2026-05-12T16:23:32,SEL-001,ATM-001,그린에디션 세럼인 토너 200ml,1,22000,naver_pay,OK
T100195,2026-05-12T10:50:58,SEL-001,ASR-004,헤라 루즈 홀릭 매트 #로지누드,1,38000,card,OK
T100196,2026-05-12T10:30:54,SEL-001,ETD-001,비비 매직 파운데이션 SPF50,1,-18000,cash,REFUND
T100197,2026-05-12T10:05:20,SEL-001,ATM-002,이데알 글로우 비비크림,1,0,naver_pay,TERMINAL_TIMEOUT
T100198,2026-05-12T18:35:45,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,1,38000,kakao_pay,OK
T100199,2026-05-12T16:38:27,SEL-001,INF-004,노세범 미네랄 파우더 5g,1,0,naver_pay,TERMINAL_TIMEOUT
T100200,2026-05-12T19:13:27,SEL-001,ETD-003,디어 달링 워터젤 틴트,2,18000,cash,OK
T100201,2026-05-12T15:46:06,SEL-001,LNZ-005,크림 스킨 토너 앤 모이스처라이저,1,38000,kakao_pay,OK
T100202,2026-05-12T21:43:59,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,card,OK
T100203,2026-05-12T15:47:47,SEL-001,LNZ-006,이데알 블러 핏 파운데이션,2,76000,naver_pay,OK
T100204,2026-05-12T21:35:21,SEL-001,ATM-004,쥬얼링 아이즈 #피치블라썸,1,18000,cash,OK
T100205,2026-05-12T20:46:03,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,42000,naver_pay,OK
T100206,2026-05-12T16:09:42,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,-4500,naver_pay,REFUND
T100207,2026-05-12T14:48:17,SEL-001,ATM-001,그린에디션 세럼인 토너 200ml,1,22000,naver_pay,OK
T100208,2026-05-12T22:52:39,SEL-001,ATM-002,이데알 글로우 비비크림,1,25000,naver_pay,OK
T100209,2026-05-12T21:53:44,SEL-001,LNZ-003,퍼펙트 리뉴 리제너레이터 75ml,1,78000,kakao_pay,OK
T100210,2026-05-12T21:22:00,SEL-001,INF-006,그린티 클렌징 폼 150ml,2,22000,cash,OK
T100211,2026-05-12T10:47:40,SEL-001,INF-001,그린티 씨드 세럼 80ml,1,35000,cash,OK
T100212,2026-05-12T15:21:10,SEL-001,LNZ-006,이데알 블러 핏 파운데이션,1,38000,naver_pay,OK
T100213,2026-05-12T17:56:03,SEL-001,INF-005,마이립밤 코코넛 3.5g,1,6500,card,OK
T100214,2026-05-12T13:42:27,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,samsung_pay,OK
T100215,2026-05-12T19:07:22,SEL-001,ETD-002,플레이 컬러 아이즈 #체리블라썸,1,28000,naver_pay,OK
T100216,2026-05-12T16:42:19,SEL-001,INF-002,레티놀 시카 흔적 앰플 30ml,1,42000,card,OK
T100217,2026-05-12T09:19:13,SEL-001,ASR-001,설화수 자음생크림 60ml,1,235000,kakao_pay,OK
T100218,2026-05-12T11:31:47,SEL-001,ETD-002,플레이 컬러 아이즈 #체리블라썸,1,28000,samsung_pay,OK
T100219,2026-05-12T16:53:42,SEL-001,ASR-002,설화수 윤조에센스 90ml,1,145000,card,OK
T100220,2026-05-12T15:29:58,SEL-001,INF-003,화산송이 모공 마스크 100ml,2,24000,naver_pay,OK
T100221,2026-05-12T15:40:26,SEL-001,LNZ-004,네오 쿠션 매트 15g 21호,1,0,kakao_pay,POS_DOWN
T100222,2026-05-12T12:39:29,SEL-001,ASR-003,헤라 블랙쿠션 15g 21호,1,78000,cash,OK
T100223,2026-05-12T20:15:27,SEL-001,ATM-001,그린에디션 세럼인 토너 200ml,1,0,kakao_pay,PAYMENT_FAIL
T100224,2026-05-12T19:14:21,SEL-001,ASR-001,설화수 자음생크림 60ml,1,235000,card,OK
T100225,2026-05-12T17:12:57,SEL-001,ASR-001,설화수 자음생크림 60ml,1,235000,samsung_pay,OK
T100226,2026-05-12T13:09:16,SEL-001,LNZ-001,워터뱅크 블루 하이알루로닉 세럼,1,48000,card,OK
T100227,2026-05-12T12:49:40,SEL-001,ETD-004,드로잉 아이브로우 자동연필,1,4500,naver_pay,OK
T100228,2026-05-12T16:59:56,SEL-001,ATM-001,그린에디션 세럼인 토너 200ml,1,22000,kakao_pay,OK
T100229,2026-05-12T20:40:20,SEL-001,INF-005,마이립밤 코코넛 3.5g,1,6500,kakao_pay,OK
T100230,2026-05-12T19:37:03,SEL-001,LNZ-006,이데알 블러 핏 파운데이션,1,38000,cash,OK
